Student_Id,Sub_Type,Enrollment_Date,Cancellation_Date,Inactive,Last_login,Avg_Time_Spent,Satisfaction_Score,Signup_Date,Last_Login_Updated,Enrollment_Date_Updated,Cancellation_Date_Updated
STU001,Premium,10/13/2022,3/22/2023,TRUE,null,40,5,2/19/2022,,10/13/2022,3/22/2023
STU002,Premium,9/21/2022,4/4/2023,TRUE,null,18,7,1/5/2022,,9/21/2022,4/4/2023
STU003,Basic,3/12/2022,10/24/2023,TRUE,null,14,4,11/26/2022,,3/12/2022,10/24/2023
STU004,Basic,7/30/2022,3/4/2023,TRUE,null,15,1,7/23/2022,,7/30/2022,3/4/2023
STU005,Basic,7/12/2022,6/4/2023,TRUE,null,16,7,11/30/2022,,7/12/2022,6/4/2023
STU006,Premium,1/10/2022,7/20/2023,TRUE,null,36,9,9/24/2022,,1/10/2022,7/20/2023
STU007,Basic,8/17/2022,12/7/2023,TRUE,null,14,6,10/8/2022,,8/17/2022,12/7/2023
STU008,Basic,7/13/2022,9/10/2023,TRUE,null,14,8,6/7/2022,,7/13/2022,9/10/2023
STU009,Basic,9/18/2022,11/22/2023,TRUE,null,24,6,11/9/2022,,9/18/2022,11/22/2023
STU010,Basic,1/20/2022,10/22/2023,TRUE,null,18,6,1/13/2022,,1/20/2022,10/22/2023
STU011,Premium,7/13/2022,4/23/2023,TRUE,null,39,8,6/7/2022,,7/13/2022,4/23/2023
STU012,Basic,11/2/2022,7/2/2023,TRUE,null,35,7,4/2/2022,,11/2/2022,7/2/2023
STU013,Basic,3/19/2022,4/10/2023,TRUE,null,26,9,10/3/2022,,3/19/2022,4/10/2023
STU014,Basic,2/8/2022,5/25/2023,TRUE,null,17,9,7/24/2022,,2/8/2022,5/25/2023
STU015,Basic,10/17/2022,12/13/2023,TRUE,null,16,8,8/10/2022,,10/17/2022,12/13/2023
STU016,Basic,5/9/2022,5/6/2023,TRUE,null,30,6,8/27/2022,,5/9/2022,5/6/2023
STU017,Basic,7/6/2022,2/18/2023,TRUE,null,17,7,5/29/2022,,7/6/2022,2/18/2023
STU018,Basic,3/13/2022,11/27/2023,TRUE,null,37,8,4/3/2022,,3/13/2022,11/27/2023
STU019,Basic,6/24/2022,7/17/2023,TRUE,null,17,6,6/15/2022,,6/24/2022,7/17/2023
STU020,Basic,11/14/2022,1/12/2023,TRUE,null,38,7,5/11/2022,,11/14/2022,1/12/2023
STU021,Basic,1/14/2022,1/29/2023,TRUE,null,41,4,5/1/2022,,1/14/2022,1/29/2023
STU022,Basic,3/9/2022,6/17/2023,TRUE,null,42,7,8/25/2022,,3/9/2022,6/17/2023
STU023,Basic,10/18/2022,11/1/2023,TRUE,null,14,5,9/10/2022,,10/18/2022,11/1/2023
STU024,Basic,8/31/2022,10/21/2023,TRUE,null,15,8,8/22/2022,,8/31/2022,10/21/2023
STU025,Basic,5/10/2022,11/28/2023,TRUE,null,32,7,9/26/2022,,5/10/2022,11/28/2023
STU026,Basic,2/25/2022,10/3/2022,TRUE,null,45,1,2/16/2022,,2/25/2022,10/3/2022
STU027,Basic,3/2/2022,8/24/2022,TRUE,null,25,7,1/25/2022,,3/2/2022,8/24/2022
STU028,Basic,5/28/2022,10/22/2022,TRUE,null,43,9,5/19/2022,,5/28/2022,10/22/2022
STU029,Basic,11/5/2022,1/8/2022,TRUE,null,26,8,2/5/2022,,11/5/2022,1/8/2022
STU030,Basic,4/22/2022,12/28/2022,TRUE,null,21,8,4/13/2022,,4/22/2022,12/28/2022
STU031,Basic,4/12/2022,3/13/2023,TRUE,null,32,7,11/25/2022,,4/12/2022,3/13/2023
STU032,Premium,1/2/2022,7/9/2022,TRUE,null,16,5,1/23/2022,,1/2/2022,7/9/2022
STU033,Basic,4/19/2022,11/22/2022,TRUE,null,41,7,10/4/2022,,4/19/2022,11/22/2022
STU034,Premium,11/12/2022,6/3/2023,TRUE,null,40,6,2/12/2022,,11/12/2022,6/3/2023
STU035,Premium,7/31/2022,10/11/2022,TRUE,null,23,9,7/22/2022,,7/31/2022,10/11/2022
STU036,Basic,1/27/2022,5/31/2022,TRUE,null,24,7,1/18/2022,,1/27/2022,5/31/2022
STU037,Premium,6/8/2022,7/16/2023,TRUE,null,44,6,7/28/2022,,6/8/2022,7/16/2023
STU038,Premium,6/19/2022,1/17/2023,TRUE,null,40,7,10/6/2022,,6/19/2022,1/17/2023
STU039,Basic,6/12/2022,7/3/2023,TRUE,null,20,8,11/27/2022,,6/12/2022,7/3/2023
STU040,Basic,7/16/2022,8/14/2023,TRUE,null,25,2,7/7/2022,,7/16/2022,8/14/2023
STU041,Premium,8/16/2022,12/16/2023,TRUE,null,44,2,7/8/2022,,8/16/2022,12/16/2023
STU042,Premium,5/14/2022,2/19/2023,TRUE,null,34,8,5/5/2022,,5/14/2022,2/19/2023
STU043,Premium,5/2/2022,10/17/2023,TRUE,null,33,7,1/27/2022,,5/2/2022,10/17/2023
STU044,Premium,1/18/2022,1/20/2023,TRUE,null,23,6,11/1/2022,,1/18/2022,1/20/2023
STU045,Basic,6/26/2022,3/14/2023,TRUE,null,26,7,6/17/2022,,6/26/2022,3/14/2023
STU046,Premium,9/7/2022,5/19/2023,TRUE,null,34,9,2/7/2022,,9/7/2022,5/19/2023
STU047,Premium,8/15/2022,5/10/2023,TRUE,null,13,6,6/8/2022,,8/15/2022,5/10/2023
STU048,Basic,7/21/2022,2/27/2023,TRUE,null,38,6,12/7/2022,,7/21/2022,2/27/2023
STU049,Basic,5/5/2022,3/20/2023,TRUE,null,33,1,4/20/2022,,5/5/2022,3/20/2023
STU050,Premium,1/20/2022,11/19/2023,TRUE,null,35,8,11/1/2022,,1/20/2022,11/19/2023
STU051,Premium,3/10/2022,5/6/2023,TRUE,null,44,2,9/26/2022,,3/10/2022,5/6/2023
